TestNo,Area,ResolutionX,ResolutionY,Channel,ClusterSize,MaxIter,RingSize
Test_0,0.95,360,360,1,3,300,0
Test_1,0.95,360,360,1,4,300,0
Test_2,0.95,360,360,1,5,300,0
Test_3,0.95,360,360,1,6,300,0
Test_4,0.95,360,360,1,7,300,0
Test_5,0.95,200,200,3,3,300,0
Test_6,0.95,200,200,3,4,300,0
Test_7,0.95,200,200,3,5,300,0
Test_8,0.95,200,200,3,6,300,0
Test_9,0.95,200,200,3,7,300,0
Test_10,0.95,360,360,1,10,300,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_11,0.95,120,120,3,10,300,"[5,10,15,20,25,30,35,40,50,60,70,90,121]"
Test_12,0.95,360,360,1,10,300,0
Test_13,0.95,120,120,3,10,300,0
Test_14,0.95,360,360,1,18,300,"[10,20,30,40,50,60,80,100,120,140,170,200,230,260,270,300,330,361]"
Test_15,0.95,120,120,3,18,300,"[5,10,15,20,25,30,35,40,50,60,70,90,121]"
Test_16,0.95,360,360,1,18,300,0
Test_17,0.95,120,120,3,18,300,0
